orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
infineon::cy8c6247fdi-d52,infineon::cy8c6247fdi-d52,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247FDI-D52,CY8C6247FDI-D52,,,,,80-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247fti-d52,infineon::cy8c6247fti-d52,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247FTI-D52,CY8C6247FTI-D52,,,,,80-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247wi-d54,infineon::cy8c6247wi-d54,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247WI-D54,CY8C6247WI-D54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248azi-d14,infineon::cy8c6248azi-d14,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248AZI-D14,CY8C6248AZI-D14,,,,,128-TQFP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248azi-d44,infineon::cy8c6248azi-d44,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248AZI-D44,CY8C6248AZI-D44,,,,,128-TQFP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248azi-s2d14,infineon::cy8c6248azi-s2d14,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248AZI-S2D14,CY8C6248AZI-S2D14,,,,,128-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248azi-s2d44,infineon::cy8c6248azi-s2d44,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248AZI-S2D44,CY8C6248AZI-S2D44,,,,,128-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248bzi-d44,infineon::cy8c6248bzi-d44,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248BZI-D44,CY8C6248BZI-D44,,,,,124-BGA,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248bzi-s2d44,infineon::cy8c6248bzi-s2d44,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248BZI-S2D44,CY8C6248BZI-S2D44,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248fni-d43,infineon::cy8c6248fni-d43,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248FNI-D43,CY8C6248FNI-D43,,,,,100-WLCSP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248fni-s2d43,infineon::cy8c6248fni-s2d43,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248FNI-S2D43,CY8C6248FNI-S2D43,,,,,100-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248lqi-s2d02,infineon::cy8c6248lqi-s2d02,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248LQI-S2D02,CY8C6248LQI-S2D02,,,,,68-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6248lqi-s2d42,infineon::cy8c6248lqi-s2d42,Infineon,PSOC 62,PSOC 62,CY8C62x8,CY8C6248LQI-S2D42,CY8C6248LQI-S2D42,,,,,68-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624aazi-d14,infineon::cy8c624aazi-d14,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AAZI-D14,CY8C624AAZI-D14,,,,,128-TQFP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624aazi-d44,infineon::cy8c624aazi-d44,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AAZI-D44,CY8C624AAZI-D44,,,,,128-TQFP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624aazi-s2d14,infineon::cy8c624aazi-s2d14,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AAZI-S2D14,CY8C624AAZI-S2D14,,,,,128-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624aazi-s2d44,infineon::cy8c624aazi-s2d44,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AAZI-S2D44,CY8C624AAZI-S2D44,,,,,128-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-d04,infineon::cy8c624abzi-d04,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-D04,CY8C624ABZI-D04,,,,,124-BGA,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-d14,infineon::cy8c624abzi-d14,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-D14,CY8C624ABZI-D14,,,,,124-BGA,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-d44,infineon::cy8c624abzi-d44,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-D44,CY8C624ABZI-D44,,,,,124-BGA,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-s2d04,infineon::cy8c624abzi-s2d04,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-S2D04,CY8C624ABZI-S2D04,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-s2d14,infineon::cy8c624abzi-s2d14,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-S2D14,CY8C624ABZI-S2D14,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624abzi-s2d44,infineon::cy8c624abzi-s2d44,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-S2D44,CY8C624ABZI-S2D44,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
