orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
microchip::at90pwm3-16mqt,microchip::at90pwm3,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3,AT90PWM3-16MQT,-16MQT,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3-16sq,microchip::at90pwm3,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3,AT90PWM3-16SQ,-16SQ,,,,SOIC32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm316-16me,microchip::at90pwm316,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM316,AT90PWM316-16ME,-16ME,,,,QFN32,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm316-16mu,microchip::at90pwm316,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM316,AT90PWM316-16MU,-16MU,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm316-16se,microchip::at90pwm316,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM316,AT90PWM316-16SE,-16SE,,,,SOIC32,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm316-16su,microchip::at90pwm316,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM316,AT90PWM316-16SU,-16SU,,,,SOIC32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3b-16me,microchip::at90pwm3b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3B,AT90PWM3B-16ME,-16ME,,,,QFN32,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3b-16mu,microchip::at90pwm3b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3B,AT90PWM3B-16MU,-16MU,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3b-16se,microchip::at90pwm3b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3B,AT90PWM3B-16SE,-16SE,,,,SOIC32,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3b-16su,microchip::at90pwm3b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3B,AT90PWM3B-16SU,-16SU,,,,SOIC32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
