source_id,source_type,publisher,title,url,version,observed_at,verification_scope
qinheng:ch32-data-yaml:CH32V103R8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V103R8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V103R8T6.yaml,main;sha256:768f925e1fe91767c2f94adc254d1d0c4dcc4f483f4493ad9b444de5af9bdc7f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203C6T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203C6T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203C6T6.yaml,main;sha256:84160caf8b7e6dbbaa0d47f5d7d26b8274f62cafca3db4f88df68636f33e94bc,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203C8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203C8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203C8T6.yaml,main;sha256:7f7eb333e752c012a52993d24cd3540d32bb31d7f209aa47ec5d927103778412,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203C8U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203C8U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203C8U6.yaml,main;sha256:f10dc5931a0c434c078f87038229d53a82fbb2cfa51cc9f4554999266f2908c8,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203F6P6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203F6P6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203F6P6.yaml,main;sha256:ff62d6030d57b92d2efe9095a1dada72f01b3bc2bc8dce90b42eb71c89f81691,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203F8P6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203F8P6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203F8P6.yaml,main;sha256:961558ea587e6038eff29110aefa5cebd09d81c2290e464e30d005b5f405a38f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203F8U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203F8U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203F8U6.yaml,main;sha256:d32bc365db6d197690ba159f04df2c478a3eaf701a274491982876535c02a52f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203G6U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203G6U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203G6U6.yaml,main;sha256:c8ff145ea162050281887f8901deb73fa55152275f2eb02421924fd61f649b2a,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203G8R6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203G8R6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203G8R6.yaml,main;sha256:f9aa94f50dc365ab9fe9b3eb9f7ab72f3d8038fee5e09a1eb146d61b9e28ef0a,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203K6T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203K6T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203K6T6.yaml,main;sha256:0210c4daa3e2ce930117c06d206dfab2dc2bc72bbf7433f0cf9002a29c9bd431,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
