product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
mindmotion::mm32f0270::mm32f0270::mm32f0273d,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0270,MM32F0270,MM32F0273D,3,cmsis:MindMotion.MM32F0270_DFP@0.1.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f031::mm32f031::mm32f031x4,MindMotion,general_purpose_mcu,Cortex-M0,MM32F031,MM32F031,MM32F031x4,2,cmsis:MindMotion.MM32F031_DFP@1.4.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f031::mm32f031::mm32f031x6,MindMotion,general_purpose_mcu,Cortex-M0,MM32F031,MM32F031,MM32F031x6,5,cmsis:MindMotion.MM32F031_DFP@1.4.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f031::mm32f031::mm32f031x8,MindMotion,general_purpose_mcu,Cortex-M0,MM32F031,MM32F031,MM32F031x8,3,cmsis:MindMotion.MM32F031_DFP@1.4.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f031::mm32f031::mm32f031xb,MindMotion,general_purpose_mcu,Cortex-M0,MM32F031,MM32F031,MM32F031xB,3,cmsis:MindMotion.MM32F031_DFP@1.4.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f032::mm32f032::mm32f032x6,MindMotion,general_purpose_mcu,Cortex-M0,MM32F032,MM32F032,MM32F032x6,4,cmsis:MindMotion.MM32F032_DFP@1.0.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f032::mm32f032::mm32f032x8,MindMotion,general_purpose_mcu,Cortex-M0,MM32F032,MM32F032,MM32F032x8,4,cmsis:MindMotion.MM32F032_DFP@1.0.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f103::mm32f103::mm32f103x8,MindMotion,general_purpose_mcu,Cortex-M3,MM32F103,MM32F103,MM32F103x8,4,cmsis:MindMotion.MM32F103x8xB_DFP@1.4.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f103::mm32f103::mm32f103xb,MindMotion,general_purpose_mcu,Cortex-M3,MM32F103,MM32F103,MM32F103xB,4,cmsis:MindMotion.MM32F103x8xB_DFP@1.4.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f103::mm32f103::mm32f103xc,MindMotion,general_purpose_mcu,Cortex-M3,MM32F103,MM32F103,MM32F103xC,5,cmsis:MindMotion.MM32F103xCxE_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f103::mm32f103::mm32f103xe,MindMotion,general_purpose_mcu,Cortex-M3,MM32F103,MM32F103,MM32F103xE,5,cmsis:MindMotion.MM32F103xCxE_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f3270::mm32f3270::mm32f3273e,MindMotion,general_purpose_mcu,Cortex-M3,MM32F3270,MM32F3270,MM32F3273E,2,cmsis:MindMotion.MM32F3270_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f3270::mm32f3270::mm32f3273g,MindMotion,general_purpose_mcu,Cortex-M3,MM32F3270,MM32F3270,MM32F3273G,4,cmsis:MindMotion.MM32F3270_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f3270::mm32f3270::mm32f3277e,MindMotion,general_purpose_mcu,Cortex-M3,MM32F3270,MM32F3270,MM32F3277E,3,cmsis:MindMotion.MM32F3270_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f3270::mm32f3270::mm32f3277g,MindMotion,general_purpose_mcu,Cortex-M3,MM32F3270,MM32F3270,MM32F3277G,3,cmsis:MindMotion.MM32F3270_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32l0xx::mm32l0xx::mm32l05x,MindMotion,general_purpose_mcu,Cortex-M0,MM32L0xx,MM32L0xx,MM32L05x,8,cmsis:MindMotion.MM32L0xx_DFP@1.1.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32l0xx::mm32l0xx::mm32l06x,MindMotion,general_purpose_mcu,Cortex-M0,MM32L0xx,MM32L0xx,MM32L06x,8,cmsis:MindMotion.MM32L0xx_DFP@1.1.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32l0xx::mm32l0xx::mm32l07x,MindMotion,general_purpose_mcu,Cortex-M0,MM32L0xx,MM32L0xx,MM32L07x,8,cmsis:MindMotion.MM32L0xx_DFP@1.1.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32l3xx::mm32l3xx::mm32l36x,MindMotion,general_purpose_mcu,Cortex-M3,MM32L3xx,MM32L3xx,MM32L36x,4,cmsis:MindMotion.MM32L3xx_DFP@1.0.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32l3xx::mm32l3xx::mm32l37x,MindMotion,general_purpose_mcu,Cortex-M3,MM32L3xx,MM32L3xx,MM32L37x,4,cmsis:MindMotion.MM32L3xx_DFP@1.0.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32p0xx::mm32p0xx::mm32p02x,MindMotion,general_purpose_mcu,Cortex-M0,MM32P0xx,MM32P0xx,MM32P02x,3,cmsis:MindMotion.MM32P0xx_DFP@1.0.9,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32p0xx::mm32p0xx::mm32p02xsim,MindMotion,general_purpose_mcu,Cortex-M0,MM32P0xx,MM32P0xx,MM32P02xSim,3,cmsis:MindMotion.MM32P0xx_DFP@1.0.9,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin0280::mm32spin0280::mm32spin0280,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN0280,MM32SPIN0280,MM32SPIN0280,6,cmsis:MindMotion.MM32SPIN0280_DFP@0.0.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin0x::mm32spin0x::mm32spin05,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN0x,MM32SPIN0x,MM32SPIN05,5,cmsis:MindMotion.MM32SPIN0x_DFP@1.0.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin0x::mm32spin0x::mm32spin06,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN0x,MM32SPIN0x,MM32SPIN06,3,cmsis:MindMotion.MM32SPIN0x_DFP@1.0.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin2x::mm32spin2x::mm32spin25,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN2x,MM32SPIN2x,MM32SPIN25,3,cmsis:MindMotion.MM32SPIN2x_DFP@1.1.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin2x::mm32spin2x::mm32spin26,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN2x,MM32SPIN2x,MM32SPIN26,3,cmsis:MindMotion.MM32SPIN2x_DFP@1.1.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32spin2x::mm32spin2x::mm32spin27,MindMotion,general_purpose_mcu,Cortex-M0,MM32SPIN2x,MM32SPIN2x,MM32SPIN27,3,cmsis:MindMotion.MM32SPIN2x_DFP@1.1.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w0130::mm32w0130::mm32w0133c,MindMotion,general_purpose_mcu,Cortex-M0,MM32W0130,MM32W0130,MM32W0133C,2,cmsis:MindMotion.MM32W0130_DFP@1.0.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w0xxxb::mm32w0xxxb::mm32w05xxxb,MindMotion,general_purpose_mcu,Cortex-M0,MM32W0xxxB,MM32W0xxxB,MM32W05xxxB,2,cmsis:MindMotion.MM32W0xxB_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w0xxxb::mm32w0xxxb::mm32w06xxxb,MindMotion,general_purpose_mcu,Cortex-M0,MM32W0xxxB,MM32W0xxxB,MM32W06xxxB,2,cmsis:MindMotion.MM32W0xxB_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w0xxxb::mm32w0xxxb::mm32w07xxxb,MindMotion,general_purpose_mcu,Cortex-M0,MM32W0xxxB,MM32W0xxxB,MM32W07xxxB,2,cmsis:MindMotion.MM32W0xxB_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w3xxb::mm32w3xxb::mm32w36xb,MindMotion,general_purpose_mcu,Cortex-M3,MM32W3xxB,MM32W3xxB,MM32W36xB,2,cmsis:MindMotion.MM32W3xxB_DFP@1.0.9,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32w3xxb::mm32w3xxb::mm32w37xb,MindMotion,general_purpose_mcu,Cortex-M3,MM32W3xxB,MM32W3xxB,MM32W37xB,2,cmsis:MindMotion.MM32W3xxB_DFP@1.0.9,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
