orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32a423v8t7,artery::at32a423v8t7,Artery,AT32,AT32A,AT32A423,AT32A423V8T7,AT32A423V8T7,V8T7,V8T7,,,LQFP100,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423vbt7,artery::at32a423vbt7,Artery,AT32,AT32A,AT32A423,AT32A423VBT7,AT32A423VBT7,VBT7,VBT7,,,LQFP100,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423vct7,artery::at32a423vct7,Artery,AT32,AT32A,AT32A423,AT32A423VCT7,AT32A423VCT7,VCT7,VCT7,,,LQFP100,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f011c8t7,artery::at32f011c8t7,Artery,AT32,AT32F,AT32F011,AT32F011C8T7,AT32F011C8T7,C8T7,C8T7,,,LQFP48,,,active,artery:cmsis:at32f011,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f011f8p7,artery::at32f011f8p7,Artery,AT32,AT32F,AT32F011,AT32F011F8P7,AT32F011F8P7,F8P7,F8P7,,,QFN20,,,active,artery:cmsis:at32f011,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f011k8t7,artery::at32f011k8t7,Artery,AT32,AT32F,AT32F011,AT32F011K8T7,AT32F011K8T7,K8T7,K8T7,,,QFN32,,,active,artery:cmsis:at32f011,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f011k8u7,artery::at32f011k8u7,Artery,AT32,AT32F,AT32F011,AT32F011K8U7,AT32F011K8U7,K8U7,K8U7,,,QFN32,,,active,artery:cmsis:at32f011,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f402c8t7,artery::at32f402c8t7,Artery,AT32,AT32F,AT32F402,AT32F402C8T7,AT32F402C8T7,C8T7,C8T7,,,LQFP48,,,active,artery:cmsis:at32f402,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f402r8t7,artery::at32f402r8t7,Artery,AT32,AT32F,AT32F402,AT32F402R8T7,AT32F402R8T7,R8T7,R8T7,,,LQFP64,,,active,artery:cmsis:at32f402,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f402v8t7,artery::at32f402v8t7,Artery,AT32,AT32F,AT32F402,AT32F402V8T7,AT32F402V8T7,V8T7,V8T7,,,LQFP100,,,active,artery:cmsis:at32f402,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
