device_id,device_name,field_name,previous_value,cubemx_value,resolution,source_path
stmicroelectronics::stm32c051k6ux,STM32C051K6Ux,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051K6Ux.xml
stmicroelectronics::stm32c051k8tx,STM32C051K8Tx,package_types,QFP,LQFP32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051k8tx,STM32C051K8Tx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051K8Tx.xml
stmicroelectronics::stm32c071c8tx,STM32C071C8Tx,package_types,QFP,LQFP48_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071c8tx,STM32C071C8Tx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071C8Tx.xml
stmicroelectronics::stm32c071c8txn,STM32C071C8TxN,package_types,QFP,LQFP48_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071c8txn,STM32C071C8TxN,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071C8TxN.xml
stmicroelectronics::stm32c071c8ux,STM32C071C8Ux,package_types,QFN,UFQFPN48_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071c8ux,STM32C071C8Ux,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071C8Ux.xml
stmicroelectronics::stm32c071c8uxn,STM32C071C8UxN,package_types,QFN,UFQFPN48_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071c8uxn,STM32C071C8UxN,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071C8UxN.xml
stmicroelectronics::stm32c071cbtx,STM32C071CBTx,package_types,QFP,LQFP48_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071cbtx,STM32C071CBTx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071CBTx.xml
stmicroelectronics::stm32c071cbtxn,STM32C071CBTxN,package_types,QFP,LQFP48_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071cbtxn,STM32C071CBTxN,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071CBTxN.xml
stmicroelectronics::stm32c071cbux,STM32C071CBUx,package_types,QFN,UFQFPN48_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071cbux,STM32C071CBUx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071CBUx.xml
stmicroelectronics::stm32c071cbuxn,STM32C071CBUxN,package_types,QFN,UFQFPN48_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071cbuxn,STM32C071CBUxN,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071CBUxN.xml
stmicroelectronics::stm32c071f8px,STM32C071F8Px,package_types,SOP,TSSOP20_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071f8px,STM32C071F8Px,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071F8Px.xml
stmicroelectronics::stm32c071f8pxn,STM32C071F8PxN,package_types,SOP,TSSOP20_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071f8pxn,STM32C071F8PxN,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071F8PxN.xml
stmicroelectronics::stm32c071fbpx,STM32C071FBPx,package_types,SOP,TSSOP20_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071fbpx,STM32C071FBPx,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071FBPx.xml
stmicroelectronics::stm32c071fbpxn,STM32C071FBPxN,package_types,SOP,TSSOP20_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071fbpxn,STM32C071FBPxN,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071FBPxN.xml
stmicroelectronics::stm32c071fbyxtr,STM32C071FBYxTR,package_types,CSP,WLCSP19_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071fbyxtr,STM32C071FBYxTR,pin_counts,19,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071FBYx.xml
stmicroelectronics::stm32c071g8ux,STM32C071G8Ux,package_types,QFN,UFQFPN28_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071g8ux,STM32C071G8Ux,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071G8Ux.xml
stmicroelectronics::stm32c071g8uxn,STM32C071G8UxN,package_types,QFN,UFQFPN28_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071g8uxn,STM32C071G8UxN,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071G8UxN.xml
stmicroelectronics::stm32c071gbux,STM32C071GBUx,package_types,QFN,UFQFPN28_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071gbux,STM32C071GBUx,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071GBUx.xml
stmicroelectronics::stm32c071gbuxn,STM32C071GBUxN,package_types,QFN,UFQFPN28_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071gbuxn,STM32C071GBUxN,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071GBUxN.xml
stmicroelectronics::stm32c071k8tx,STM32C071K8Tx,package_types,QFP,LQFP32_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071k8tx,STM32C071K8Tx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071K8Tx.xml
stmicroelectronics::stm32c071k8txn,STM32C071K8TxN,package_types,QFP,LQFP32_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071k8txn,STM32C071K8TxN,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071K8TxN.xml
stmicroelectronics::stm32c071k8ux,STM32C071K8Ux,package_types,QFN,UFQFPN32_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071k8ux,STM32C071K8Ux,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071K8Ux.xml
stmicroelectronics::stm32c071k8uxn,STM32C071K8UxN,package_types,QFN,UFQFPN32_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071k8uxn,STM32C071K8UxN,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071K8UxN.xml
stmicroelectronics::stm32c071kbtx,STM32C071KBTx,package_types,QFP,LQFP32_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071kbtx,STM32C071KBTx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071KBTx.xml
stmicroelectronics::stm32c071kbtxn,STM32C071KBTxN,package_types,QFP,LQFP32_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071kbtxn,STM32C071KBTxN,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071KBTxN.xml
stmicroelectronics::stm32c071kbux,STM32C071KBUx,package_types,QFN,UFQFPN32_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071kbux,STM32C071KBUx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071KBUx.xml
stmicroelectronics::stm32c071kbuxn,STM32C071KBUxN,package_types,QFN,UFQFPN32_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071kbuxn,STM32C071KBUxN,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071KBUxN.xml
stmicroelectronics::stm32c071r8tx,STM32C071R8Tx,package_types,QFP,LQFP64_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071r8tx,STM32C071R8Tx,pin_counts,64,68,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071R8Tx.xml
stmicroelectronics::stm32c071r8txn,STM32C071R8TxN,package_types,QFP,LQFP64_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071r8txn,STM32C071R8TxN,pin_counts,64,68,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071R8TxN.xml
stmicroelectronics::stm32c071rbixn,STM32C071RBIxN,package_types,BGA,UFBGA64_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071rbixn,STM32C071RBIxN,pin_counts,64,68,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071RBIxN.xml
stmicroelectronics::stm32c071rbtx,STM32C071RBTx,package_types,QFP,LQFP64_GP,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071rbtx,STM32C071RBTx,pin_counts,64,68,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071RBTx.xml
stmicroelectronics::stm32c071rbtxn,STM32C071RBTxN,package_types,QFP,LQFP64_N,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c071rbtxn,STM32C071RBTxN,pin_counts,64,68,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C071RBTxN.xml
stmicroelectronics::stm32c091cbtx,STM32C091CBTx,package_types,QFP,LQFP48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c091cbtx,STM32C091CBTx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C091CBTx.xml
stmicroelectronics::stm32c091cbux,STM32C091CBUx,package_types,QFN,UFQFPN48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
