pack_vendor,pack_name,pack_version,pdsc_url,deprecated,replacement,index_timestamp,selected_for_import,fetch_status,device_count,error
SiliconLabs,EFR32ZG14P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32ZG14P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32ZG14P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32HG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32HG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32HG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32LG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32LG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32LG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32WG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32WG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32WG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,MGM1_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.MGM1_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_MGM1_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,MGM12_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.MGM12_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_MGM12_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,MGM13_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.MGM13_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_MGM13_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,MGM21_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.MGM21_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_MGM21_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,ZGM13_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.ZGM13_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_ZGM13_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
DialogSemiconductor,DA1453x_DFP,1.0.4,https://s3.eu-central-1.amazonaws.com/lpccs-docs.renesas.com/CMSIS/DialogSemiconductor.DA1453x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
DialogSemiconductor,DA1458x_DFP,1.1.3,https://s3.eu-central-1.amazonaws.com/lpccs-docs.renesas.com/CMSIS/DialogSemiconductor.DA1458x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
DialogSemiconductor,DA1468x_DFP,1.1.3,https://s3.eu-central-1.amazonaws.com/lpccs-docs.renesas.com/CMSIS/DialogSemiconductor.DA1468x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
DialogSemiconductor,DA1469x_DFP,1.5.2,https://s3.eu-central-1.amazonaws.com/lpccs-docs.renesas.com/CMSIS/DialogSemiconductor.DA1469x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
DialogSemiconductor,DA1470x_DFP,1.2.0,https://s3.eu-central-1.amazonaws.com/lpccs-docs.renesas.com/CMSIS/DialogSemiconductor.DA1470x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F10x_DFP,2.0.3,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F10x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F1x0_DFP,3.2.1,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F1x0_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F20x_DFP,2.2.3,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F20x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F30x_DFP,2.2.1,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F30x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F3x0_DFP,3.0.2,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F3x0_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32F4xx_DFP,3.0.3,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F4xx_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32C10x_DFP,1.0.1,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32C10x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32E10x_DFP,1.2.1,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E10x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
